,Book_Order,Book_Name,Characters,Characters_Typed,proportion_typed
0,1,GEN,185293,149505,0.806857247710383
1,2,EXO,159492,507,0.0031788428259724626
2,3,LEV,120367,0,0.0
3,4,NUM,165525,202,0.0012203594623168706
4,5,DEU,139344,0,0.0
5,6,JOS,94721,0,0.0
6,7,JDG,93365,38,0.00040700476624002573
7,8,RUT,12505,0,0.0
8,9,1SA,122241,0,0.0
9,10,2SA,100552,0,0.0
10,11,1KI,119726,0,0.0
11,12,2KI,114964,191,0.0016613896524129293
12,13,1CH,105529,0,0.0
13,14,2CH,132807,0,0.0
14,15,EZR,38692,0,0.0
15,16,NEH,54680,0,0.0
16,18,JOB,90053,0,0.0
17,19,PSA,218388,0,0.0
18,20,PRO,75981,0,0.0
19,21,ECC,27419,0,0.0
20,22,SNG,13203,191,0.014466409149435734
21,23,ISA,185587,0,0.0
22,24,JER,215297,0,0.0
23,25,LAM,17722,0,0.0
24,26,EZK,195384,0,0.0
25,28,HOS,26589,0,0.0
26,29,JOL,10261,0,0.0
27,30,AMO,20876,0,0.0
28,31,OBA,3265,0,0.0
29,32,JON,6386,0,0.0
30,33,MIC,15400,0,0.0
31,34,NAM,6446,0,0.0
32,35,HAB,7307,0,0.0
33,36,ZEP,8197,0,0.0
34,37,HAG,5489,0,0.0
35,38,ZEC,31085,0,0.0
36,39,MAL,8912,0,0.0
37,40,TOB,34593,0,0.0
38,41,JDT,57613,0,0.0
39,42,ESG,38794,0,0.0
40,44,WIS,56619,0,0.0
41,45,SIR,137185,0,0.0
42,46,BAR,25899,0,0.0
43,51,1MA,119609,0,0.0
44,52,2MA,92464,0,0.0
45,65,DAG,79306,0,0.0
46,69,MAT,119621,0,0.0
47,70,MRK,74901,0,0.0
48,71,LUK,126856,0,0.0
49,72,JHN,95683,0,0.0
50,73,ACT,123742,0,0.0
51,74,ROM,49703,0,0.0
52,75,1CO,48301,0,0.0
53,76,2CO,31750,0,0.0
54,77,GAL,16240,0,0.0
55,78,EPH,16273,0,0.0
56,79,PHP,11523,0,0.0
57,80,COL,10665,0,0.0
58,81,1TH,9559,0,0.0
59,82,2TH,5396,0,0.0
60,83,1TI,12632,0,0.0
61,84,2TI,8815,0,0.0
62,85,TIT,5134,0,0.0
63,86,PHM,2267,0,0.0
64,87,HEB,36994,0,0.0
65,88,JAS,11803,0,0.0
66,89,1PE,13132,0,0.0
67,90,2PE,8442,0,0.0
68,91,1JN,12363,12363,1.0
69,92,2JN,1536,453,0.294921875
70,93,3JN,1525,1525,1.0
71,94,JUD,3461,136,0.03929500144466917
72,95,REV,58702,64,0.001090252461585636
