Keyboard,Mean Extra Keystrokes %,Mean WPM,Category,Mistake_Free_Test
cherry mx2a black,7.822161988470225,146.1285231460852,All,
cherry mx2a brown,11.05325893503595,142.74775252971224,All,
cherry red,9.144435305499737,142.15491911195005,All,
cherry mx2a black,0.0,167.20694938188396,No Mistakes,1.0
cherry mx2a brown,0.0,165.17089064684959,No Mistakes,1.0
cherry red,0.0,161.83595263584107,No Mistakes,1.0
cherry red,11.430544131874672,137.23466073097728,Mistakes,0.0
cherry mx2a black,11.588388131067,135.9796512547747,Mistakes,0.0
cherry mx2a brown,14.440547963514708,135.8761456873637,Mistakes,0.0
